"Country" "Life.expectancy" "Health.spenditure"
"New Zealand" 81.4048780487805 4018.30781878
"Oman" 77.0850975609756 1441.96769341
"Pakistan" 66.1833658536585 128.98872466
"Panama" 77.5951463414634 1676.95228529
"Peru" 74.5255365853659 656.18008382
"Philippines" 68.2656341463415 328.87213835
"Palau" NA 1428.87934702
"Papua New Guinea" 62.6069268292683 109.48832119
"Poland" 77.2536585365854 1570.44646918
"Puerto Rico" 79.3747317073171 NA
"Korea, Dem. People’s Rep." 70.0746829268293 NA
"Portugal" 80.7219512195122 2689.94233578
"Paraguay" 72.9217073170732 872.92836492
"French Polynesia" 76.5416829268293 NA
"Qatar" 78.5968048780488 3071.1877566
"Romania" 75.0634146341463 1079.25833188
"Russian Federation" 70.3658536585366 1835.7132779
"Rwanda" 63.9656585365854 125.06543321
"Saudi Arabia" 74.3372195121951 2465.97676769
"Sudan" 63.4585365853658 281.64049938
"Senegal" 66.3725853658537 106.93550431
"Singapore" 82.6463414634146 4046.9752879
"Solomon Islands" 67.9308048780488 107.60977318
"Sierra Leone" 50.8787804878049 223.74445178
"El Salvador" 72.7545609756098 564.88546103
"San Marino" NA 3390.14777992
"Somalia" 55.3548048780488 NA
"Serbia" 75.5341463414634 1312.22306804
"South Sudan" 55.6822195121951 72.82214895
"Sao Tome and Principe" 66.3846097560976 299.72955882
"Suriname" 71.1514390243903 978.62888072
"Slovak Republic" 76.7146341463415 2179.05100362
"Slovenia" 80.519512195122 2697.67107106
"Sweden" 81.9560975609756 5218.86073424
"Swaziland" 48.9347317073171 586.82287032
"Sint Maarten (Dutch part)" NA NA
"Seychelles" 73.2292682926829 844.3370884
"Syrian Arab Republic" 70.0710243902439 375.87533693
"Turks and Caicos Islands" NA NA
"Chad" 51.5558048780488 79.01538673
"Togo" 59.6558048780488 76.25300946
"Thailand" 74.4220243902439 950.14137311
"Tajikistan" 69.5979756097561 185.14753548
"Turkmenistan" 65.5985365853659 319.89865998
"Timor-Leste" 68.2591463414634 101.53536611
"Tonga" 72.7921951219512 269.76719936
"Trinidad and Tobago" 70.4405609756098 1815.65490457
"Tunisia" 74.1439024390244 785.31749079
"Turkey" 75.163512195122 1036.46529379
"Tuvalu" NA 585.04230955
"Tanzania" 64.9439024390244 137.49307091
"Uganda" 58.4664146341464 132.58798789
"Ukraine" 71.1865853658537 584.23599726
"Uruguay" 76.9861463414634 1792.18097303
"United States" 78.9414634146341 9402.53697133
"Uzbekistan" 68.3390243902439 339.60620292
"St. Vincent and the Grenadines" 72.9368536585366 916.55274725
"Venezuela, RB" 74.2361951219512 922.98867425
"Virgin Islands (U.S.)" 79.7731707317073 NA
"Vietnam" 75.6291219512195 390.49743035
"Vanuatu" 71.9183170731707 150.36164397
"West Bank and Gaza" 72.9040243902439 NA
"Samoa" 73.5118292682927 417.8138856
"Yemen, Rep." 63.8181951219512 202.1649506
"South Africa" 57.1821219512195 1148.37249844
"Congo, Dem. Rep." 58.6591951219512 32.28043161
"Zambia" 60.0470487804878 194.68451093
"Zimbabwe" 57.4983170731707 114.60850655
