"Country"	"GDP.growth"	"GDP.at.market.prices"	"GDP.per.capita"	"GNI.per.capita.Atlas.method"	"Exports.of.goods.and.services"	"Foreign.direct.investment.net"	"GNI.per.capita.PPP"	"GINI.index"	"Inflation.consumer.prices"	"Inflation.GDP.deflator"	"Internet.users"	"Imports.of.goods.and.services"	"Life.expectancy.at.birth.total"	"Adult.literacy.rate.population.15..years.both.sexes"	"Unemployment.total"	"Poverty.headcount.ratio.at.national.poverty.lines"	"Agriculture.value.added"	"CO2.emissions"	"Central.government.debt.total"	"Population.total"
"Romania"	3.53	191587217163.98	9587.18	9270	39.74	-3915347492.29	19150	-	3.99	3.21	49.76	40.41	75.06	-	7.3	25.4	6.18	-	41.49	19983693
"Russian Federation"	1.34	2079024782973.32	14487.28	13810	28.62	17287630000	21660	-	6.78	5.05	67.97	22.7	70.37	-	5.5	10.8	4.03	-	13.6	143506911
"Rwanda"	4.68	7522006198.23	679	670	15.63	-257642420.17	1540	-	4.23	4.77	9	30.67	63.39	-	0.6	-	33.39	-	-	11078095
"Samoa"	-1.93	795753602.49	4179.6	3960	30.32	-24080841.66	5450	-	0.61	1.72	15.3	50.46	73.25	-	-	-	-	-	-	190390
"San Marino"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31391
"Sao Tome and Principe"	4.19	305632896.59	1675.75	1540	-	-4872126.22	3040	-	8.11	6.87	23	-	66.26	-	-	-	22.7	-	-	182386
"Saudi Arabia"	2.67	744335733333.33	24646.02	25140	52.08	-3921400000	51320	-	3.51	-1.22	60.5	30.89	74.18	94.43	5.7	-	1.85	-	-	30201051
"Senegal"	3.62	14951667193.55	1051.38	1040	27.74	-	2210	-	0.7	-0.59	13.1	48.57	65.88	42.82	10.3	-	15.62	-	-	14221041
"Serbia"	2.57	45519650911.41	6353.83	6050	41.2	-1727819134.33	13100	-	7.69	5.44	51.5	51.91	75.19	-	22.1	25.4	9.36	-	-	7164132
"Seychelles"	6.62	1411035753.7	15695.61	13540	85.48	-125293914.77	24320	-	4.34	2.67	50.4	92.85	73.12	-	-	39.3	2.51	-	-	89900
"Sierra Leone"	20.91	4838115453.12	783.01	680	-	-429675225.23	1770	-	10.27	6.69	1.7	-	50.36	45.65	3.4	-	50.6	-	-	6178859
"Singapore"	4.44	302245904259.57	55980.15	54580	191.55	-35979301526.41	77840	-	2.38	-0.06	81	168.33	82.25	96.54	2.8	-	0.03	-	-	5399162
"Sint Maarten (Dutch part)"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36607
"Slovak Republic"	1.43	98033841689.22	18109.5	17910	93.84	272619005.6	26930	-	1.4	0.52	77.88	89.59	76.41	-	14.2	12.6	3.97	-	63.2	5413393
"Slovenia"	-1.06	47675804618	23144.12	23190	75.21	-71956748.04	28930	-	1.76	0.84	72.68	69.34	80.32	99.71	10.2	14.5	2.06	-	-	2059953
"Solomon Islands"	3.01	1059690062.43	1889.99	1830	56.43	-50407547.56	2090	-	5.39	-0.38	8	66.83	67.72	-	3.8	-	-	-	-	560685
"Somalia"	-	5352000000	521.22	-	14.56	-	-	-	-	-	1.5	62.07	55.02	-	6.9	-	-	-	-	10268157
"South Africa"	2.21	366243783486.35	6889.79	7410	30.98	-1712645458.1	12530	-	5.45	5.99	46.5	33.25	56.74	-	24.6	-	2.32	-	-	53157490
"South Sudan"	13.13	13257635693.01	1157.49	970	16.2	-	1850	-	-0.04	13.02	14.1	38.13	55.22	-	-	-	-	-	-	11453810
"Spain"	-1.67	1369261671179	29370.66	29540	31.96	-19156888163.83	32690	-	1.41	0.57	71.64	28.75	83.08	98.08	26.3	-	2.82	-	96.47	46620045
"Sri Lanka"	3.4	74317814502.32	3611.34	3150	-	-867477987.81	9320	-	6.91	6.24	21.9	-	74.65	-	4.4	-	8.23	-	-	20579000
"St. Kitts and Nevis"	5.82	787290366.87	14498.63	14000	39.29	-110789970.37	21060	-	1.11	1.65	64.6	48.26	-	-	-	-	1.63	-	-	54301
"St. Lucia"	0.14	1334385778.15	7319.52	7110	45.55	-83515042.22	10400	-	1.47	1.63	46.2	55.17	74.91	-	-	-	3.18	-	-	182305
"St. Martin (French part)"	-	-	-	-	-	-	-	-	-	-	-	-	79.17	-	-	-	-	-	-	31264
"St. Vincent and the Grenadines"	1.67	720636189.63	6591.57	6540	25.25	-126735012.96	10510	-	0.81	2.29	52	58.07	72.81	-	-	-	7.56	-	-	109327
"Sudan"	3.3	66480141187.35	1726.08	1670	7.2	-1687884178.8	3810	-	29.96	36.67	22.7	14.92	63.17	74.27	14.6	-	29.16	-	-	38515095
"Suriname"	2.84	5130909090.91	9618.35	9650	-	-138294828.96	16640	-	1.92	0.19	37.4	-	70.99	-	4.8	-	7.01	-	-	533450
"Swaziland"	2.95	4562432045.38	3648.07	3680	-	-29120870.66	7450	-	5.62	6.09	24.7	-	48.94	-	22.3	-	6.31	-	-	1250641
"Sweden"	1.24	578742001487.57	60283.25	61340	43.8	25638820223.45	46420	-	-0.04	1.06	94.78	39.29	81.96	-	8.1	-	1.39	-	41.98	9600379
"Switzerland"	1.77	684919206141.13	84669.29	88120	72.31	32881468412.63	60460	-	-0.22	-0.02	86.34	60.19	82.8	-	4.4	-	0.71	-	-	8089346
"Syrian Arab Republic"	-	-	-	-	-	-	-	-	-	-	26.2	-	70.3	85.53	11.3	-	-	-	-	21789415
"Tajikistan"	7.4	8506615265.14	1048.66	1000	19.18	-104812500	2530	-	5.01	4.35	16	68.33	69.4	99.75	11.2	34.3	27.41	-	-	8111894
"Tanzania"	7.26	44384603619.54	910.38	850	17.65	-2087261309.72	2390	-	7.87	7.67	4.4	31.07	64.29	-	2.9	-	33.29	-	-	50213457
"Thailand"	2.81	420166569029.49	6229.17	5840	67.71	-3573621661.24	14580	-	2.18	1.64	28.94	65.13	74.25	-	0.7	10.9	11.3	-	29.23	67451422
"Timor-Leste"	2.76	1319000000	1117.73	3680	7.66	-43190438.95	6980	-	11.16	-0.88	1.1	95.91	68.02	-	4.3	-	19.18	-	-	1180069
"Togo"	5.12	4338575823.82	626.17	520	44.33	-216428612.86	1170	-	1.77	2	4.5	64.51	59.13	-	6.9	-	37.35	-	-	6928719
"Tonga"	-2.68	432893161.19	4117.34	4300	21.17	-4475876.86	5180	-	0.71	0.34	35	56.9	72.64	-	-	-	20.66	-	-	105139
"Trinidad and Tobago"	1.74	27257473690.75	20217.08	16920	50.49	-	27490	-	5.2	9.21	63.8	35.19	70.31	98.86	3.6	-	0.62	-	-	1348240
"Tunisia"	2.89	46920723825.94	4309.99	4200	47.06	-1058622582.18	10570	-	5.8	5.1	43.8	56.25	74.04	-	13.3	-	8.83	-	-	10886500
"Turkey"	4.19	823242587404.14	10975.07	10970	25.64	-8830000000	19140	-	7.49	6.17	46.25	32.18	74.9	95.26	8.7	2.1	8.33	-	38.01	75010202
"Turkmenistan"	10.2	41012982456.14	7826.77	6880	-	-	13010	-	-	5.84	9.6	-	65.46	99.65	10.7	-	-	-	-	5240088
"Turks and Caicos Islands"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33103
"Tuvalu"	1.3	38322359.53	3880.35	5840	-	-336811.55	5260	-	-	1.75	37	-	-	-	-	-	22.16	-	-	9876
"Uganda"	3.27	24662957430.38	674.34	630	20.25	-1143207355.95	1680	-	5.46	4.14	16.2	30.52	57.77	-	4.2	-	27.21	-	-	36573387
"Ukraine"	0	183310146378.08	4029.72	3760	42.96	-4079000000	8380	24.55	-0.28	4.31	41	52.11	71.16	99.74	7.2	8.3	10.16	-	-	45489600
"United Arab Emirates"	4.32	387192103471.75	42831.09	43440	101.34	-	64140	-	-	-0.61	88	76.82	77.2	-	3.8	-	0.68	-	1.91	9039978
"United Kingdom"	2.16	2712296271989.99	42294.89	42040	30.03	-64628132092.23	38730	-	2.55	1.99	89.84	32.01	81	-	7.5	-	0.69	-	98.26	64128226
"United States"	2.22	16768053000000	52980.04	53720	13.5	112041000000	54000	41.06	1.46	1.49	84.2	16.53	78.84	-	7.4	-	1.45	-	96.16	316497531
"Uruguay"	5.1	57524653093.51	16879.45	15640	23.48	-3026851792.02	19320	41.87	8.58	7.41	57.69	26.23	76.84	98.36	6.6	11.5	9.04	-	-	3407969
"Uzbekistan"	8	56795656324.58	1877.96	1940	27.02	-	5460	-	-	13.91	38.2	31.38	68.22	99.52	10.8	-	19.2	-	-	30243200
"Vanuatu"	1.97	801787555.86	3167.06	3200	47.82	-58996716.62	2970	-	1.45	2.66	11.3	51.3	71.67	84.01	-	-	27.98	-	-	253165
"Venezuela, RB"	1.34	-	-	-	24.76	-4888000000	17700	-	40.64	35.5	54.9	29.51	74.07	-	7.5	32.1	-	-	-	30276045
"Vietnam"	5.42	171222025390	1907.56	1740	83.63	-6944000000	5070	-	6.59	4.76	43.9	81.47	75.48	-	2.2	-	18.38	-	-	89759500
"Virgin Islands (U.S.)"	-	-	-	-	-	-	-	-	-	-	45.3	-	79.62	-	-	-	-	-	-	104737
"West Bank and Gaza"	-4.15	12473235848.01	2991.54	3060	16.61	-224046097.38	5080	-	-	8.21	46.6	54.54	72.73	96.28	23.4	-	4.83	-	-	4169506
"Yemen, Rep."	4.16	35954502303.5	1408.15	1300	-	133570895.63	3650	-	10.97	7.89	20	-	63.58	67.65	17.7	-	-	-	-	25533217
"Zambia"	6.71	26820806278.84	1759.19	1700	43.26	-1690332000	3580	-	6.98	5.65	15.4	41.06	59.24	-	13.1	-	9.64	-	-	15246086
"Zimbabwe"	4.48	13490227100	905.5	820	29.44	-	1610	-	1.63	4.18	18.5	59.34	55.63	-	5.3	-	12	-	-	14898092
