"Country"	"GDP.growth"	"GDP.at.market.prices"	"GDP.per.capita"	"GNI.per.capita.Atlas.method"	"Exports.of.goods.and.services"	"Foreign.direct.investment.net"	"GNI.per.capita.PPP"	"GINI.index"	"Inflation.consumer.prices"	"Inflation.GDP.deflator"	"Internet.users"	"Imports.of.goods.and.services"	"Life.expectancy.at.birth.total"	"Adult.literacy.rate.population.15..years.both.sexes"	"Unemployment.total"	"Poverty.headcount.ratio.at.national.poverty.lines"	"Agriculture.value.added"	"CO2.emissions"	"Central.government.debt.total"	"Population.total"
"Chad"	5.7	12949853281.25	985.1	980	33.57	-	1980	-	0.15	-4.14	2.3	39.08	51.19	38.23	7.1	-	51.92	-	-	13145788
"Channel Islands"	-	-	-	-	-	-	-	-	-	-	-	-	80.46	-	-	-	-	-	-	162138
"Chile"	4.23	276673695234.34	15741.71	15270	32.41	-8955646050	20580	50.45	1.79	1.9	66.5	33.06	81.2	-	6	14.4	3.23	-	-	17575833
"China"	7.68	9490602600148.49	6991.85	6710	23.32	-217957551783.69	12100	-	2.63	2.23	45.8	20.58	75.59	-	4.6	-	9.41	-	-	1357380000
"Colombia"	4.94	380063456192.64	8027.98	7770	17.62	-8556581348.01	12240	53.49	2.02	1.9	51.7	20.22	73.81	-	9.6	30.6	5.96	-	58.65	47342363
"Comoros"	3.5	598925539.67	796.76	790	16.41	-	1410	-	2.3	1.73	6.5	61.82	62.93	76.55	6.5	-	37.08	-	-	751697
"Congo, Dem. Rep."	8.5	30014905126.1	413.7	370	33.87	-1697585830.81	630	-	1.63	0.73	2.2	41.8	58.27	-	8.2	-	22.17	-	-	72552861
"Congo, Rep."	3.44	14085852120.48	3205.46	2620	76.53	-	4660	-	5.97	-3.66	6.6	66.07	61.67	-	6.6	-	4.36	-	-	4394334
"Costa Rica"	3.44	49236710394.45	10461.58	9780	35.46	-2480837313.47	13940	49.18	5.22	4.42	45.96	39.03	79.23	-	8.5	20.7	5.61	-	-	4706433
"Cote dIvoire"	9.22	31292560974.45	1447.22	1360	43.76	-413875901.33	2890	-	2.58	2.54	8.4	41.15	51.21	-	4.1	-	22.07	-	-	21622490
"Croatia"	-1.06	57770884728.65	13574.98	13460	43.03	-1095796453.99	20990	-	2.22	0.8	66.75	42.57	77.13	-	17.3	19.4	4.39	-	-	4255689
"Cuba"	2.69	77149700000	6789.85	-	24.1	-	-	-	-	2.72	27.93	20.22	79.26	-	3.2	-	-	-	-	11362505
"Curacao"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	153822
"Cyprus"	-5.36	24057251748.56	27910.62	27520	50.83	1550725307.04	29650	-	-0.4	-1.37	65.45	48.35	79.95	-	15.8	-	2.52	-	145.85	1141652
"Czech Republic"	-0.53	208328435108.82	19813.87	19170	77.27	379979406.47	28230	-	1.43	1.41	74.11	71.47	78.18	-	7	9.7	2.7	-	-	10514272
"Denmark"	-0.49	335877548363.83	59818.63	61740	54.27	10625216770.28	46890	-	0.79	1.54	94.63	48.53	80.3	-	7	-	1.36	-	46.57	5614932
"Djibouti"	5	1455416073.51	1683.43	-	-	-286004467.68	-	-	2.42	2.4	9.5	-	61.69	-	-	-	-	-	-	864554
"Dominica"	0.59	506666666.67	7036.55	6710	34.61	-17915757.41	9970	-	-0.05	3.81	59	48.1	-	-	-	-	16.27	-	-	72005
"Dominican Republic"	4.78	61366326096.19	5968.67	5860	25.44	-1990500000	11760	47.07	4.83	2.71	45.9	31.18	73.32	90.86	15	41.1	6.29	-	-	10281408
"Ecuador"	4.55	94776170000	6051.61	5810	29.17	-732016206.26	10820	47.29	2.74	3.1	40.35	31.52	75.65	93.29	4.2	25.6	9.05	-	-	15661312
"Egypt, Arab Rep."	2.11	286011230726.27	3264.45	3040	17.17	-3891200000	10110	-	9.42	9	29.4	23.57	70.93	75.06	13.2	-	10.99	-	-	87613909
"El Salvador"	1.85	24350900000	3998.74	3850	26.37	-176273398.31	7770	43.51	0.79	0.4	23.11	45.58	72.5	86.77	5.9	29.6	11	-	55.86	6089644
"Equatorial Guinea"	-6.51	17135584684.64	21497.89	11890	92.56	-	19510	-	1.17	-1.52	16.4	70.51	57.29	94.77	7	-	-	-	-	797082
"Eritrea"	-	-	-	-	-	-	-	-	-	-	0.9	-	63.18	71.6	7.2	-	-	-	-	4998824
"Estonia"	1.57	25246787741.95	19155.42	18390	86.77	-107115137.09	26620	-	2.79	3.97	79.4	84.56	77.14	-	8.6	21.8	3.5	-	0.63	1317997
